Gazella dorcas
Gazella leptoceros
Hippotragus niger variani
Kobus leche
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Naemorhedus griseus
Nanger dama
Oryx dammah
Oryx leucoryx
Ovis ammon
Ovis ammon hodgsonii
Ovis ammon nigrimontana
Ovis canadensis
Ovis orientalis ophion
Ovis vignei
Ovis vignei vignei
Pantholops hodgsonii
Philantomba monticola
Pseudois nayaur
Pseudoryx nghetinhensis
Rupicapra pyrenaica ornata
Saiga borealis
Saiga tatarica
Tetracerus quadricornis
Lama guanicoe
Vicugna vicugna

Axis calamianensis
Axis kuhlii
Axis porcinus
Axis porcinus annamiticus
Blastocerus dichotomus
Cervus elaphus bactrianus
Cervus elaphus barbarus
Cervus elaphus hanglu
Dama dama mesopotamica
Hippocamelus antisensis
Hippocamelus bisulcus
Mazama temama cerasina
Muntiacus crinifrons
Muntiacus vuquanghensis
Odocoileus virginianus mayensis
Ozotoceros bezoarticus
Pudu mephistophiles
Pudu puda
Rucervus duvaucelii
Rucervus eldii
Hexaprotodon liberiensis
Hippopotamus amphibius
Moschus anhuiensis
Moschus berezovskii
Moschus chrysogaster

Moschus cupreus
Moschus fuscus

Moschus leucogaster
Moschus moschiferus
Babyrousa babyrussa
Babyrousa bolabatuensis
Babyrousa celebensis
Babyrousa togeanensis
Sus salvanius
Catagonus wagneri
Pecari tajacu
Tayassu pecari
Ailurus fulgens
Canis aureus
Canis lupus

Cerdocyon thous
Chrysocyon brachyurus
Cuon alpinus
Lycalopex culpaeus
Lycalopex fulvipes
Lycalopex griseus
Lycalopex gymnocercus
Speothos venaticus
Vulpes bengalensis
Vulpes cana
Vulpes vulpes griffithi
Vulpes vulpes montana
Vulpes vulpes pusilla
Vulpes zerda
Cryptoprocta ferox
Eupleres goudotii
Fossa fossana
Acinonyx jubatus
Caracal caracal

Catopuma badia
Catopuma temminckii
Felis bieti
Felis chaus
Felis manul
Felis margarita
Felis nigripes
Felis silvestris
Leopardus braccatus
