Hyperoodon ampullatus
Hyperoodon planifrons
Indopacetus pacificus
Mesoplodon bidens
Mesoplodon bowdoini
Mesoplodon carlhubbsi
Mesoplodon densirostris
Mesoplodon europaeus
Mesoplodon ginkgodens
Mesoplodon grayi
Mesoplodon hectori
Mesoplodon layardii
Mesoplodon mirus
Mesoplodon perrini
Mesoplodon peruvianus
Mesoplodon stejnegeri
Mesoplodon traversii
Tasmacetus shepherdi
Ziphius cavirostris
Platyrrhinus lineatus
Acerodon celebensis
Acerodon humilis
Acerodon jubatus
Acerodon leucotis
Acerodon mackloti
Pteropus admiralitatum
Pteropus aldabrensis
Pteropus alecto
Pteropus anetianus
Pteropus aruensis
Pteropus banakrisi
Pteropus caniceps
Pteropus capistratus
Pteropus chrysoproctus
Pteropus cognatus
Pteropus conspicillatus
Pteropus dasymallus
Pteropus faunulus
Pteropus fundatus
Pteropus giganteus
Pteropus gilliardorum
Pteropus griseus
Pteropus howensis
Pteropus hypomelanus
Pteropus insularis
Pteropus intermedius
Pteropus keyensis
Pteropus leucopterus
Pteropus livingstonii
Pteropus lombocensis
Pteropus loochoensis
Pteropus lylei
Pteropus macrotis
Pteropus mahaganus
Pteropus mariannus
Pteropus melanopogon
Pteropus melanotus
Pteropus molossinus
Pteropus neohibernicus
Pteropus niger
Pteropus nitendiensis
Pteropus ocularis
Pteropus ornatus
Pteropus pelewensis
Pteropus personatus
Pteropus pilosus
Pteropus pohlei
Pteropus poliocephalus
Pteropus pselaphon
Pteropus pumilus
Pteropus rayneri
Pteropus rennelli
Pteropus rodricensis
Pteropus rufus
Pteropus samoensis
Pteropus scapulatus
Pteropus seychellensis
Pteropus speciosus
Pteropus subniger
Pteropus temminckii
Pteropus tokudae
Pteropus tonganus
Pteropus tuberculatus
Pteropus ualanus
Pteropus vampyrus
Pteropus vetulus
Pteropus voeltzkowi
Pteropus woodfordi
Pteropus yapensis
Cabassous centralis
Cabassous tatouay
Chaetophractus nationi
Priodontes maximus
Sminthopsis longicaudata
Sminthopsis psammophila
Dendrolagus inustus
Dendrolagus ursinus
Lagorchestes hirsutus
Lagostrophus fasciatus
Onychogalea fraenata
Phalanger intercastellanus
Phalanger mimicus
Phalanger orientalis
Spilocuscus kraemeri
Spilocuscus maculatus
Spilocuscus papuensis
Bettongia gaimardi
Bettongia lesueur
Bettongia penicillata
Bettongia tropica
Lasiorhinus krefftii
Caprolagus hispidus
Romerolagus diazi
Zaglossus attenboroughi
Zaglossus bartoni
Zaglossus bruijni
Perameles bougainville
Macrotis lagotis
Equus africanus
Equus grevyi
Equus hemionus
Equus hemionus hemionus
Equus hemionus khur
Equus kiang
Equus przewalskii
Equus zebra hartmannae
Equus zebra zebra
Ceratotherium simum
Ceratotherium simum simum
Dicerorhinus sumatrensis
Diceros bicornis
Rhinoceros sondaicus
Rhinoceros unicornis
Tapirus bairdii
Tapirus indicus
Tapirus pinchaque
Tapirus terrestris
Manis crassicaudata
Manis culionensis
Manis gigantea
Manis javanica
Manis pentadactyla
Manis temminckii
Manis tetradactyla
Manis tricuspis
Bradypus pygmaeus
Bradypus variegatus
Choloepus hoffmanni
Myrmecophaga tridactyla
Tamandua mexicana
Aotus azarae
Aotus hershkovitzi
Aotus jorgehernandezi
Aotus lemurinus
Aotus miconax
Aotus nancymaae
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Alouatta belzebul
Alouatta caraya
Alouatta coibensis
Alouatta guariba
Alouatta macconnelli
Alouatta nigerrima
Alouatta palliata
Alouatta pigra
Alouatta sara
Alouatta seniculus
Ateles belzebuth
Ateles chamek
Ateles fusciceps
Ateles geoffroyi
Ateles geoffroyi frontatus
Ateles geoffroyi panamensis
Ateles hybridus
Ateles marginatus
Ateles paniscus
Brachyteles arachnoides
Brachyteles hypoxanthus
Lagothrix cana
Lagothrix lagotricha
Lagothrix lugens
Lagothrix poeppigii
Oreonax flavicauda
Callimico goeldii
Callithrix acariensis
Callithrix argentata
Callithrix aurita
Callithrix chrysoleuca
Callithrix emiliae
Callithrix flaviceps
Callithrix geoffroyi
Callithrix humeralifera
Callithrix humilis
Callithrix intermedia
Callithrix jacchus
Callithrix kuhlii
Callithrix leucippe
Callithrix manicorensis
Callithrix marcai
Callithrix mauesi
Callithrix melanura
Callithrix nigriceps
Callithrix penicillata
Callithrix pygmaea
Callithrix saterei
Cebus albifrons
Cebus apella
Cebus capucinus
Cebus flavius
Cebus kaapori
Cebus libidinosus
Cebus nigritus
Cebus olivaceus
Cebus xanthosternos
Leontopithecus caissara
Leontopithecus chrysomelas
Leontopithecus chrysopygus
Leontopithecus rosalia
Mico rondoni
Saguinus bicolor
Saguinus fuscicollis
Saguinus geoffroyi
Saguinus graellsi
Saguinus imperator
Saguinus inustus
Saguinus labiatus
Saguinus leucopus
Saguinus martinsi
Saguinus melanoleucus
Saguinus midas
Saguinus mystax
Saguinus niger
Saguinus nigricollis
Saguinus oedipus
Saguinus pileatus
Saguinus tripartitus
Saimiri boliviensis
Saimiri oerstedii
Saimiri sciureus
Saimiri ustus
Saimiri vanzolinii
Allenopithecus nigroviridis
Cercocebus agilis
Cercocebus atys
Cercocebus chrysogaster
Cercocebus galeritus
Cercocebus sanjei
Cercocebus torquatus
Cercopithecus albogularis
Cercopithecus ascanius
Cercopithecus campbelli
Cercopithecus cephus
Cercopithecus denti
Cercopithecus diana
Cercopithecus doggetti
Cercopithecus dryas
Cercopithecus erythrogaster
Cercopithecus erythrotis
Cercopithecus hamlyni
Cercopithecus kandti
Cercopithecus lhoesti
Cercopithecus lowei
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Cercopithecus petaurista
Cercopithecus pogonias
Cercopithecus preussi
Cercopithecus roloway
Cercopithecus sclateri
Cercopithecus solatus
Cercopithecus wolfi
Chlorocebus aethiops
Chlorocebus cynosuros
Chlorocebus djamdjamensis
Chlorocebus pygerythrus
Chlorocebus sabaeus
Chlorocebus tantalus
Colobus angolensis
Colobus guereza
Colobus polykomos
Colobus satanas
Colobus vellerosus
Erythrocebus patas
Lophocebus albigena
Lophocebus aterrimus
Lophocebus opdenboschi
Macaca arctoides
Macaca assamensis
Macaca cyclopis
Macaca fascicularis
Macaca fuscata
Macaca hecki
Macaca leonina
Macaca maura
Macaca mulatta
Macaca munzala
Macaca nemestrina
Macaca nigra
Macaca nigrescens
Macaca ochreata
Macaca pagensis
Macaca radiata
Macaca siberu
Macaca silenus
Macaca sinica
Macaca sylvanus
Macaca thibetana
Macaca tonkeana
Mandrillus leucophaeus
Mandrillus sphinx
Miopithecus ogouensis
